OM,latitude,longitude,Endereços
SSN-5,-32.033083318417376,-52.07933866944614,AV. HONÓRIO BICALHO - S/N° - ILHA DO TERRAPLENO DO LESTE - PORTAO 12 - CENTRO - RIO GRANDE - RS - BRASIL - 96201-020
EsqdHU-51,-32.03324106806505,-52.07217637321028,AV. HONÓRIO BICALHO - S/N° - PORTÃO 12 - ILHA DO TERRAPLENO - RIO GRANDE - RS - BRASIL - 96209-030 
CiaPol,-22.84572820639793,-43.10141458979176,AV. PAIVA - S/N° - - NEVES - SÃO GONÇALO - RJ - BRASIL - 24611-970
DDNM,-23.564454794298967,-46.73916625944967,AV. PROFESSOR LINEU PRESTES - 2468 - CIDADE UNIVERSITÁRIA - BUTANTÃ - SÃO PAULO - SP - BRASIL - 05508-000
CeITMSP,-23.4720858,-46.6234219,AV. PROFESSOR LINEU PRESTES - 2468 - CIDADE UNIVERSITÁRIA - BUTANTÃ - SÃO PAULO - SP - BRASIL – 05508-000
AgBAcre,-8.75343719103609,-67.398813755963,AV. XV DE NOVEMBRO - 2221 - - CENTRO - BOCA DO ACRE - AM - BRASIL – 69850-000
DepFMRJ,-22.83268096424869,-43.25866028081595,AV.BRASIL - 10500 - - OLARIA - RIO DE JANEIRO - RJ - BRASIL – 21012-350
NTrFluParaguassu,-19.001965559797743,-57.59566470832185,AVENIDA 14 DE MARÇO - S/N° - - CENTRO - LADÁRIO - MS - BRASIL - 79370-000
NPaPoti,-19.001965559797743,-57.59566470832185,AVENIDA 14 DE MARÇO - S/N° - - CENTRO - LADÁRIO - MS - BRASIL - 79370-000
NApLogFluPotengi,-19.001965559797743,-57.59566470832185,AVENIDA 14 DE MARÇO - S/N° - - CENTRO - LADÁRIO - MS - BRASIL - 79370-000
NPaPiraja,-19.001965559797743,-57.59566470832185,AVENIDA 14 DE MARÇO - S/N° - - CENTRO - LADÁRIO - MS - BRASIL - 79370-000
NAsHTenMaximiano,-19.001965559797743,-57.59566470832185,AVENIDA 14 DE MARÇO - S/N° - - CENTRO - LADÁRIO - MS - BRASIL - 79370-000
NTrFluAlteLeverger,-19.001965559797743,-57.59566470832185,AVENIDA 14 DE MARÇO - S/N° - - CENTRO - LADÁRIO - MS - BRASIL - 79370-000
EsqdHU-61,-19.004473395244723,-57.59449122657987,AVENIDA 14 DE MARÇO - S/N° - - CENTRO - LADÁRIO - MS - BRASIL - 79370-000
NPaPenedo,-19.001965559797743,-57.59566470832185,AVENIDA 14 DE MARÇO - S/N° - - CENTRO - LADÁRIO - MS - BRASIL – 79370-000
GrEOpRibMT,-19.001965559797743,-57.59566470832185,AVENIDA 14 DE MARÇO - S/N° - - CENTRO - LADÁRIO - MS - BRASIL – 79370-000
CeIMLa,-19.003151086737283,-57.59675781443346,AVENIDA 14 DE MARÇO - S/N° - - CENTRO - LADÁRIO - MS - BRASIL – 79370-000
NPaPiratini,-19.001965559797743,-57.59566470832185,AVENIDA 14 DE MARÇO - S/N° - - LADÁRIO - LADÁRIO - MS - BRASIL – 79370-000
CHN-6,-19.0040803,-57.5957924,"Avenida 14 de Março, Setor 1, Ladário, Mato Grosso do Sul, Brazil, 79370-000, "
AgBJLapa,-13.2556695,-43.4215849,"Avenida Almirante Beirute, Bom Jesus da Lapa, Bom Jesus da Lapa, Bahia, Brazil, 47600-000, "
VOJBotas,-22.912565248430443,-43.1592825309096,AVENIDA ALMIRANTE SYLVIO DE NORONHA - S/N - - CENTRO - RIO DE JANEIRO - RJ - BRASIL - 20021-010
NPaGuajara,-23.95797337746768,-46.3069950500894,AVENIDA CIDADE DE SANTOS - S/N° - CAIS DA MARINHA - MACUCO - SANTOS - SP - BRASIL – 11015-050
NpaGuapore,-23.95797337746768,-46.3069950500894,AVENIDA CIDADE DE SANTOS - S/N° - CAIS DA MARINHA - MACUCO - SANTOS - SP - BRASIL – 11015-050
ComGptPatNavSSE,-23.95797337746768,-46.3069950500894,AVENIDA ESMERALDO ST CAMPOS FL - S/N - CAIS DA MARINHA CANAL4-EST - CAIS DA MARINHA CANAL4-EST - SANTOS - SP - BRASIL – 11015-205
ComTrRef,-22.8456847,-43.09959,"Avenida Paiva, Porto Velho, São Gonçalo, Rio de Janeiro, Brazil, 24426-148, "
UMEM,-22.8437526,-43.0996185,"Avenida Paiva, Porto Velho, São Gonçalo, Rio de Janeiro, Brazil, 24426-148, "
BAeNSPA,-22.820833395026757,-42.09461228464308,"Base Aeronaval, São Pedro da Aldeia - RJ, 28940-000"
NVAratu,-12.79665328900707,-38.490481020008566,BASE NAVAL DE ARATU - - SÃO TOMÉ DE PARIPE - PARIPE - SALVADOR - BA - BRASIL - 40810-310
CVCaboclo,-12.79665328900707,-38.490481020008566,BASE NAVAL DE ARATU - S/N° - - SÃO TOMÉ DE PARIPE - SALVADOR - BA - BRASIL - 40800-310
NHiBTenBoanerges,-12.79665328900707,-38.490481020008566,BASE NAVAL DE ARATU - S/N° - - SÃO TOMÉ DE PARIPE - SALVADOR - BA - BRASIL - 40800-310
NApOcPurus,-22.867691941710937,-43.13694096310479,BASE NAVAL DO RIO DE JANEIRO - - ILHA DE MOCANGUÊ - - NITEROÍ - RJ - BRASIL - 
CIAB,-16.016402892136192,-47.9739263731154,"BR 040 - - KM 4,5 - SANTA MARIA - BRASÍLIA - DF - BRASIL - 72501-100 "
ERMN,-5.884833805295115,-35.27926198856893,BR 304 - KM 04 CAIXA POSTAL 095 - S/N - - ENCANTO VERDE - PARNAMIRIM - RN - BRASIL – 59150-000
NAsHOCruz,-3.144032849213364,-59.94935883770639,"BR 319 - - KM 4,5 - DISTRITO INDUSTRIAL - MANAUS - AM - BRASIL - 69075-510"
NAsHDoutorMontenegro,-3.144032849213364,-59.94935883770639,"BR 319 - - KM 4,5 - DISTRITO INDUSTRIAL - MANAUS - AM - BRASIL - 69075-510"
NAsHSMeirelles,-3.144032849213364,-59.94935883770639,"BR 319 - - KM 4,5 - DISTRITO INDUSTRIAL - MANAUS - AM - BRASIL - 69075-510"
NAsHCChagas,-3.144032849213364,-59.94935883770639,"BR 319 - - KM 4,5 - DISTRITO INDUSTRIAL - MANAUS - AM - BRASIL – 69075-510"
NPaFluPTeixeira,-3.144032849213364,-59.94935883770639,"BR 319 - - KM 4,5 - VILA BURITI - DISTRITO INDUSTRIAL - MANAUS - AM - BRASIL - 69075-510"
NPaFluRondonia,-3.144032849213364,-59.94935883770639,"BR 319 - - KM 4,5 - VILA BURITI - DISTRITO INDUSTRIAL - MANAUS - AM - BRASIL – 69075-510"
NPaFluAmapa,-3.144032849213364,-59.94935883770639,"BR 319 - - KM 4,5 - VILA BURITI - DISTRITO INDUSTRIAL - MANAUS - AM - BRASIL – 69075-510"
NPaFluRoraima,-3.144032849213364,-59.94935883770639,"BR 319 - S/N° - KM 4,5 - VILA BURITI - DISTRITO INDUSTRIAL - MANAUS - AM - BRASIL – 69075-510"
EsqdHU-91,-3.143577834718095,-59.94824490356087,"BR-319 - - KM 4,5 - DISTRITO INDUSTRIAL - MANAUS - AM - BRASIL - 69075-510"
NPaFluRTavares,-3.144032849213364,-59.94935883770639,"BR-319 - S/N° - KM 4,5 - DISTRITO INDUSTRIAL - MANAUS - AM - BRASIL – 69075-510"
DSM,-22.8962085,-43.1785956,"Brazil, Centro, Rio de Janeiro, Rio de Janeiro, 20091, "
ETAM,-22.8949042,-43.1740012,"Brazil, Centro, Rio de Janeiro, State of Rio de Janeiro, 20091-000, "
