DN_ID,ID,CODIGO,NOME,INDICATIVO_NAVAL,SIGLA,ENDERECO,BAIRRO,CIDADE,UF,CEP
1.0,10083,30000,COMANDO-GERAL DO CORPO DE FUZILEIROS NAVAIS,COMCFN,CGCFN,"PRAÇA BARÃO DE LADÁRIO, S/Nº. - ILHA DAS COBRAS",CENTRO,RIO DE JANEIRO,RJ,20091000
2.0,10086,82700,HOSPITAL NAVAL DE SALVADOR,HOSSAL,HNSa,"AV. DA FRANÇA, 1400",COMÉRCIO,SALVADOR,BA,40010000
1.0,10087,95300,COMANDO DA DIVISÃO LITORÂNEA,TRPREF,ComDivLit,AV. PAIVA S/Nº - ILHA DAS FLORES,NEVES,SÃO GONÇALO,RJ,24611970
1.0,10089,78000,CAIXA DE CONSTRUÇÕES DE CASAS PARA O PESSOAL DA MARINHA,CCCPMM,CCCPM,"AV. RIO BRANCO 39/11º,12º,13º,14º E 15º ANDARES",CENTRO,RIO DE JANEIRO,RJ,20090003
6.0,10092,86010,1º ESQUADRÃO DE HELICÓPTEROS DE EMPREGO GERAL DO OESTE,HELIEQ,EsqdHu-61,"RUA 14 DE MARÇO, S/No.",CENTRO,LADÁRIO,MS,79370000
3.0,10094,83701,HOSPITAL NAVAL DE NATAL,HOSNAT,HNNa,RUA SILVIO PELICO S/N,ALECRIM,NATAL,RN,59040150
4.0,10095,88133,NAVIO DE ASSISTÊNCIA  HOSPITALAR  DOUTOR MONTENEGRO,NASHMN,NAsHDoutorMontenegro,"BR 319, KM 4,5",DISTRITO INDUSTRIAL,MANAUS,AM,69075510
1.0,10099,81335,AGÊNCIA DA CAPITANIA DOS PORTOS EM PARATI,AGPRTI,AGPARATI,"RUA DOUTOR PEREIRA, 36",CENTRO HISTÓRICO,PARATI,RJ,23970000
1.0,10105,44000,DIRETORIA DE SISTEMAS DE ARMAS DA MARINHA,SISARM,DSAM,"RUA 1º DE MARÇO, 118 - ED. BARÃO DE LADÁRIO, 17º, 18º, 19º e 2Oº ANDARES",CENTRO,RIO DE JANEIRO,RJ,20010000
1.0,10107,32100,CENTRO DE INSTRUÇÃO ALMIRANTE SYLVIO DE CAMARGO,CIACFN,CIASC,"RUA MAGNO MARTINS, S/Nº",ILHA DO GOVERNADOR,RIO DE JANEIRO,RJ,21911000
1.0,10108,91612,FRAGATA DEFENSORA,FDEFEN,FDefensora,ILHA DAS COBRAS,CENTRO,RIO DE JANEIRO,RJ,20091000
1.0,10113,71200,CENTRO DE OPERAÇÕES DO ABASTECIMENTO,COPEAB,COpAb,"AV. BRASIL, 10500",OLARIA,RIO DE JANEIRO,RJ,2101350 
5.0,10114,85900,1º Esquadrão de Helicópteros de Emprego Geral do Sul,HELQUI,EsqdHU-51,"AV. HONÓRIO BICALHO, S/Nº - PORTÃO 12",ILHA DO TERRAPLENO,RIO GRANDE ,RS,96201020
5.0,10116,85311,DELEGACIA FLUVIAL DE GUAIRA,DLGUAI,DELGUAIRA,"PRACA PRESIDENTE DUTRA, 88",CENTRO,GUAÍRA,PR,85980000
2.0,10119,82019,CORVETA CABOCLO,CVCBCL,CvCaboclo,"BASE NAVAL DE ARATU, S/No.",SÃO TOMÉ DE PARIPE,SALVADOR,BA,40800310
1.0,10120,65704,POLICLÍNICA NAVAL NOSSA SENHORA DA GLÓRIA,PCLNSG,PNNSG,"RUA CONDE DE BONFIM, 54",TIJUCA,RIO DE JANEIRO,RJ,20520053
