OM_CENTRALIZADA_ID,OM_CENTRALIZADORA_ID,TIPO_CENTRALIZACAO_ID,DATA_INICIO,DATA_FIM
67200,67200,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
87310,87310,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
81200,81200,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
52100,52100,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
88200,88200,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
89000,89000,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
87700,87700,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
83320,83320,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
84400,84400,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
83702,83702,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
32400,32400,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
81310,81310,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
81600,81600,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
85344,85344,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
83200,83200,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
87900,87900,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
65720,65720,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
83602,83602,1.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
83350,83350,1.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
21000,21000,1.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
84310,84310,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
83340,83340,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
84900,84900,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
71000,71100,4.0,2013-01-02 00:00:00.000,2026-01-01 00:00:00
11000,11000,2.0,2009-05-01 00:00:00.000,2026-01-01 00:00:00
85600,85600,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
80000,80000,1.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
65709,32200,1.0,2012-10-01 00:00:00.000,2026-01-01 00:00:00
85400,85400,1.0,2009-12-01 00:00:00.000,2026-01-01 00:00:00
62400,62400,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
91901,91901,1.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
89330,89330,1.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
81402,81402,1.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
11001,11001,1.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
64000,64000,4.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
